-58934.801911,27299.654386
-58419.0668042,28528.8256898
-57870.2288497,29898.53299
-57309.9871416,31212.1600917
-56739.8325287,32380.8270645
-56156.2723637,33854.6674582
-55561.2486406,35144.1236484
-55090.1922206,36308.2587003
-54626.6083764,37575.8304927
-53961.3270498,38897.1672449
-53459.5560814,40183.2351093
-52778.9549199,41502.7849332
-52292.3124038,42830.3209621
-51785.0735801,44120.5915052
-51145.0289641,45521.6424031
-50775.3579852,46692.3242786
-50034.8393859,48064.6142905
-49469.4102956,49332.7818952
-48828.7694075,50747.4040187
-48467.777354,51954.3588064
-47850.3472551,53242.3835447
-47275.9515034,54569.1016093
-46824.2848695,55789.4428329
-46172.316806,57162.9818737
-45179.5457444,57401.3046488
-43653.0202877,57300.1608486
-42384.4086275,57020.4793589
-40737.0893035,56796.5807878
-39272.4242346,56704.2146679
-37770.1982026,56500.6119598
-36496.8664565,56287.2796281
-35078.5354372,56035.5960702
-33619.7523069,55929.1207619
-32233.7725103,55738.5599002
-30989.8246904,55434.0945008
-29546.1503295,55316.503344
-28090.0708513,55130.2667912
-26719.3247928,54922.0568364
-25219.4009717,54782.0179349
-23859.7447076,54549.7920093
-22567.5593267,54308.4869874
-21134.7770401,54162.7062573
-19642.2405093,53993.3240657
-18366.316801,53658.0571061
-16899.9170657,53522.923328
-15440.6307039,53372.8988627
-14082.3504757,53184.8724228
-12607.9946537,52959.4378589
-11260.3969763,52798.2466024
-9955.25484391,52580.6847769
-8580.22359868,52375.4017291
-7177.576783,52255.4049561
-5751.17073561,52048.1497139
-4325.43815519,51831.6463406
-2991.27316985,51622.907249
-1631.29956267,51478.1189479
-191.174434518,51263.4670519
101.895357872,51235.162274
1539.02405514,51070.8632856
2871.21381315,50871.0161864
4193.03858794,50710.738915
5631.86006868,50514.9938609
7073.72853524,50265.6842361
8437.97612961,50165.8982713
9775.1873252,49981.5263672
11208.9958599,49755.7551758
12693.8027622,49568.1682998
13996.4140467,49394.3276215
15413.3312519,49194.4893842
16735.836488,49072.6883284
18244.3041527,48825.7569944
19510.1775282,48672.9294651
21022.3693696,48477.7505463
22447.6896078,48293.4298165
23604.1878816,48301.8311951
25209.9730409,47975.4138088
26640.4283623,47737.5066165
28017.9128281,47645.9623966
29351.8413446,47474.8381696
30784.3693652,47233.2984709
32093.993657,47160.6880442
